Date;Open;High;Low;Close;Volume
2019-01-02 11:31:53.946000;3888.0;3904.0;3849.0;3851.5;100000
2019-01-02 13:55:52.572000;3851.5;3859.0;3824.5;3826.0;100000
2019-01-02 16:19:01.955000;3826.0;3827.5;3807.0;3819.0;100000
2019-01-03 10:55:15.125000;3804.0;3815.0;3781.0;3783.5;100000
2019-01-03 13:01:01.045000;3783.5;3789.0;3762.0;3767.0;100000
2019-01-03 15:07:51.478000;3767.0;3772.5;3745.0;3758.0;100000
2019-01-04 11:28:12.775000;3750.0;3775.0;3748.0;3765.0;100000
2019-01-04 13:23:23.016000;3765.0;3791.0;3762.5;3762.5;100000
2019-01-04 14:37:38.623000;3762.5;3764.0;3718.5;3721.0;100000
2019-01-04 16:58:16.899000;3721.0;3728.0;3715.5;3719.5;100000
2019-01-07 11:11:33.875000;3722.0;3727.5;3701.5;3703.0;100000
2019-01-07 13:05:33.506000;3703.0;3717.0;3695.5;3708.0;100000
2019-01-07 15:43:55.085000;3708.0;3737.5;3708.0;3736.0;100000
2019-01-08 11:42:34.836000;3745.0;3748.0;3718.0;3734.5;100000
2019-01-08 14:20:22.661000;3734.5;3738.0;3709.0;3727.0;100000
2019-01-09 11:19:42.560000;3712.0;3716.0;3688.5;3692.0;100000
2019-01-09 13:44:44.410000;3692.0;3699.5;3682.5;3691.5;100000
2019-01-09 16:55:12.523000;3691.5;3697.5;3680.0;3694.5;100000
2019-01-10 11:40:23.260000;3696.5;3700.0;3680.0;3686.0;100000
2019-01-10 15:04:00.080000;3686.0;3699.5;3684.5;3699.5;100000
2019-01-10 15:56:27.255000;3699.5;3730.0;3699.5;3717.0;100000
2019-01-11 11:38:34.317000;3699.0;3727.0;3696.0;3717.0;100000
2019-01-11 13:50:39.138000;3717.0;3733.5;3709.0;3715.0;100000
2019-01-14 11:46:52.932000;3722.0;3738.0;3721.0;3726.5;100000
2019-01-14 14:48:34.591000;3726.5;3733.5;3704.0;3708.0;100000
2019-01-15 11:49:26.539000;3707.0;3719.5;3697.5;3705.0;100000
2019-01-15 14:16:33.057000;3705.0;3723.0;3701.0;3716.5;100000
2019-01-15 17:24:27.000000;3716.5;3735.0;3716.5;3726.5;100000
2019-01-16 12:21:53.049000;3718.0;3731.0;3711.0;3721.5;100000
2019-01-16 14:52:12.647000;3721.5;3740.0;3717.0;3729.5;100000
2019-01-17 10:51:11.527000;3737.0;3775.5;3729.0;3765.5;100000
2019-01-17 12:50:38.102000;3765.5;3774.0;3758.5;3769.0;100000
2019-01-17 14:38:15.612000;3769.0;3776.0;3755.0;3763.0;100000
2019-01-17 17:51:22.059000;3763.0;3767.5;3733.0;3736.5;100000
2019-01-18 12:13:23.588000;3748.5;3760.0;3742.5;3743.0;100000
2019-01-18 14:20:08.403000;3743.0;3754.0;3729.0;3751.0;100000
2019-01-18 17:30:12.040000;3751.0;3775.0;3750.5;3755.0;100000
2019-01-21 14:51:29.354000;3761.0;3782.0;3761.0;3765.0;100000
2019-01-22 12:16:07.727000;3768.0;3770.5;3747.5;3760.0;100000
2019-01-22 14:25:14.562000;3760.0;3788.0;3754.5;3775.0;100000
2019-01-22 16:26:26.872000;3775.0;3808.0;3772.5;3800.5;100000
2019-01-23 11:20:13.059000;3800.5;3811.5;3786.5;3802.0;100000
2019-01-23 13:49:41.200000;3802.0;3813.5;3793.0;3807.0;100000
2019-01-23 15:59:19.711000;3807.0;3807.5;3768.5;3773.5;100000
2019-01-24 11:42:08.096000;3774.5;3792.5;3767.5;3788.0;100000
2019-01-24 13:24:48.375000;3788.0;3796.0;3763.0;3765.0;100000
2019-01-24 15:06:22.036000;3765.0;3768.5;3739.5;3754.0;100000
2019-01-28 11:01:18.487000;3778.0;3783.5;3757.5;3760.5;100000
2019-01-28 13:12:37.502000;3760.5;3787.5;3751.5;3776.5;100000
2019-01-28 15:23:48.949000;3776.5;3776.5;3761.0;3766.0;100000
2019-01-29 10:51:35.460000;3764.5;3765.5;3732.5;3740.0;100000
2019-01-29 12:56:55.469000;3740.0;3742.5;3726.5;3732.0;100000
2019-01-29 15:32:31.413000;3732.0;3737.5;3723.5;3727.0;100000
2019-01-30 11:27:24.497000;3715.0;3724.0;3705.0;3713.5;100000
2019-01-30 13:40:20.174000;3713.5;3725.0;3702.5;3718.0;100000
2019-01-30 17:00:16.902000;3718.0;3732.0;3713.0;3713.0;100000
2019-01-30 18:07:37.739000;3713.0;3713.0;3674.0;3681.5;100000
